sku,name,imgurl,category,description
A78716S,Полироль для приборной панели глянцевый (Горная свежесть) 125 мл AVS AVK-086,https://avs-auto.ru/storage/photo/resized/axy_210x210/h/lwzs9485kbjlcn3_229dd099.jpg,Для салона,"Нежно очищает и полирует элементы интерьера автомобиля из пластика, винила, резины и кожзаменителя. Придает эффектный глянцевый блеск."
A78224S,Быстрый старт (аэрозоль) 520 мл AVS AVK-116,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/66n6s6b7k0r93mk_c70a3b1.jpg,Для подкапотного пространства,"Продукт для быстрого старта предназначен для обеспечения легкого и быстрого запуска бензиновых и дизельных двигателей при пониженных температурах, высокой влажности, низком качестве топлива"
A78059S,Полироль кузова воск карнаубы 300 мл AVS AVK-064,https://avs-auto.ru/storage/photo/resized/axy_210x210/f/2eouc2mz0bltagm_4e308685.jpg,"Для стекол, фар и кузова",Предназначен для ухода за кузовом автомобиля. Обеспечивает защиту лакокрасочным покрытиям кузова автомобиля.
A78708S,Полироль для приборной панели матовый (Зеленый чай) 125 мл AVS AVK-078,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/ep598ouun2ikxun_bab513eb.jpg,Для салона,"Нежно очищает и полирует элементы интерьера автомобиля из пластика, винила, резины и кожзаменителя. Придает эффектный матовый блеск."
A07483S,Очиститель от тополиных почек и птичьего помета (триггер) 500 мл AVS AVK-056,https://avs-auto.ru/storage/photo/resized/axy_210x210/e/oe6p6axzwfbradx_187e96dc.jpg,"Для стекол, фар и кузова","Очищает стекла, фары, решетки радиатора, бампера и хромированные детали. Бережно и эффективно удаляет следы птичьего помета, смолы деревьев и тополиных почек с поверхностей автомобилей, мотоциклов, велосипедов и другой техники."
A07490S,Очиститель-кондиционер кожи (триггер) 250 мл AVS AVK-652,https://avs-auto.ru/storage/photo/resized/axy_210x210/c/rmwb2ffxnmnw7bf_596efbc0.jpg,Для салона,"Предназначен для бережного эффективного ухода за кожаной обивкой салона автомобиля, мотоцикла, а также для кожаной мебели и кожаных вещей, используемых в быту."
A78711S,Полироль для приборной панели матовый (Горная свежесть) 125 мл AVS AVK-081,https://avs-auto.ru/storage/photo/resized/axy_210x210/a/kr6al0weg0ucx58_211b1f2d.jpg,Для салона,"Нежно очищает и полирует элементы интерьера автомобиля из пластика, винила, резины и кожзаменителя. Придает эффектный блеск матового оттенка."
A07482S,Очиститель битумных пятен (триггер) 250 мл AVS AVK-055,https://avs-auto.ru/storage/photo/resized/axy_210x210/h/qvyuiui1lpkmj75_28a43044.jpg,"Для стекол, фар и кузова","Эффективно удаляет пятна битума, древесной смолы, следов масел, технических жидкостей и следы антикоррозийной обработки с лакокрасочного покрытия, стекол, фар, хромированных и пластиковых элементов кузова и колесных дисков всех типов."
A07486S,Очиститель следов насекомых (триггер) 250 мл AVS AVK-059,https://avs-auto.ru/storage/photo/resized/axy_210x210/a/0092r3b7tzzs39q_3fb939f8.jpg,"Для стекол, фар и кузова","Очиститель следов насекомых позволяет быстро и эффективно удалить следы различных насекомых, которые неизбежно появляются во время длительных путешествий и поездок за город."
A07484S,Очиститель от тополиных почек и птичьего помета (триггер) 250 мл AVS AVK-057,https://avs-auto.ru/storage/photo/resized/axy_210x210/f/soglqpy9swl8y4s_b53a8ac1.jpg,"Для стекол, фар и кузова","Очищает стекла, фары, решетки радиатора, бампера и хромированные детали. Бережно и эффективно удаляет следы птичьего помета, смолы деревьев и тополиных почек с поверхностей автомобилей, мотоциклов, велосипедов и другой техники."
